application_reference,lpa,decision_date,description
24/AP/2130,London Borough of Southwark,7/23/24,"Details of condition 6 'Bat bricks/tubes' required by planning permission ref no. 22/AP/1056: Construction of a full width rear single storey extension; part width second floor extension, rear dormer extension, rear garden outhouse and landscaping to front garden with refuse store."
24/03861/FULL,Westminster,8/7/24,Replacement of single-glazed timber windows on the front and rear elevations with new timber windows containing vacuum-insulated glazing.
24/P3198,Merton,11/15/24,"APPLICATION FOR PRIOR APPROVAL IN RESPECT OF THE PROPOSED ERECTION OF A SINGLE STOREY REAR EXTENSION WITH A DEPTH OF 5M, MAXIMUM HEIGHT OF 3M AND EAVES HEIGHT OF 3M."
24/1888/FUL,Richmond upon Thames,12/8/24,"Roof extensions to both properties including: raising of the roof ridges, installation of two rooflights to each front roof slope."
24/03063/CND,Enfield Council,11/9/24,"Details submitted pursuant to reference APP/Q5300/W/23/3321414 (22/03754/FUL): SuDS (5) in respect of redevelopment of site provide 9 x residential accommodation (class C3) with associated amenity space, landscaping, refuse storage, cycle and car parking provision."
24/04101/HOU,Enfield Council,12/20/24,"Demolition of existing garage and erection of part single, part two storey side/rear extension with front entrance porch."
DM2024/00486,London Borough of Sutton,4/26/24,"Erection of a two storey front extension, a single storey rear extension, conversion of the garage into a habitable room and conversion of loft space involving alterations to existing roofline, a dormer extension at rear and rooflights to front roofslope."
P2025/0004/FUL,Islington,2/24/25,Erection of a rear ground floor wrap-around extension. Enlargement of the existing rear dormer; Installation of a new rear rooflight;
78954/APP/2024/2101,Hillingdon,7/24/24,"Out of Borough consultation for Buckinghamshire County Council: Appeal against a refusal of an Outline Planning Application with all matters reserved except for principal points of access for the redevelopment of the former landfill site to comprise a data centre development (Use Class B8) of up to 72,000 sq.m (GEA) delivered across 2 buildings to include ancillary offices, internal plant and equipment and emergency back-up generators and associated fuel storage. Cycle and car parking, internal circulation routes, soft and hard landscaping, security perimeter fence, lighting, earthworks, sustainable drainage systems, ancillary infrastructure and a substation."
DM2024/01107,London Borough of Sutton,11/19/24,"Erection of a part one, part two storey side and rear extension including a swimming pool, parking lift and a cinema/bar room at basement level, erection of a single storey infill extension between the garage and study, alterations to rear and first floor flank fenestration, conversion of loft space involving dormer extensions at rear, rooflights to front and side roofslopes, removal of flank and rear chimney stacks and provision of a raised rear deck/patio area with steps."
24/4109/HSE,London Borough of Barnet,10/17/24,Single storey infill rear extension and part first floor rear extension. Single storey front porch extension
24/05538/LBC,Westminster,8/22/24,Erection of a extension at lower ground floor and small balcony at rear ground floor level.
24/03582/CEU,Enfield Council,1/11/24,"Application to approve details of condition 24 (Secured by Design) pursuant to application 22/02147/FULM for Proposal under section 73 for the variation of condition 2 (approved plans) and condition 28 (energy statement) of planning permission 22/01821/FULM which granted permission for a minor material amendment to allow changes to the approved scheme to meet fire regulations including the reduction in the size of windows to the northern elevation, the reconfiguration of balconies to the northern and southern elevation, the reconfiguration of apartments at Levels 7 and 8 to form duplex units, the reduction in the height of the lift shaft, internal reconfigurations at Level 1 and minor associated other changes to parent permission 19/02987/FULM. The parent permission being for a minor material amendment to allow changes to the approved scheme including new external plant and empties enclosure, 2 relocated trolley bays and an internal mezzanine level on the ground floor to parent permission 18/01214/FULM. The parent permission being for the demolition of existing buildings and erection of a part 3, part 8, part 9 storey building, to provide retail (Class A1) at ground floor with 59 residential units above, comprising 1 x studio flat, 26 x 1 bed, 27 x 2 bed and 5 x 3 bed flats together with associated landscaping, parking and access improvements."
2024/3784,Wandsworth,10/30/24,"Ash - Reduce crown to previously pollarded points, approx 3-4m in branch length to contain development and limit shade and debris"
25/0031/PS192,Richmond upon Thames,7/1/25,"Rooflight and solar panel array to front roof slope, the removal of chimneys, the installation of a 4.65m deep x 7.4m wide x 2.67m high box dormer extension on the rear-facing roof slope overlooking the garden."
2025/0254,Wandsworth,1/24/25,"Erection of an extension (with french doors and safety railing) to the main rear roof, and extension above the two-storey back addition."
6942/APP/2024/2969,Hillingdon,8/11/24,"Erection of a single storey extension to the rear, erection of a single storey extension to the side, erection of front porch, conversion of integral garage to habitable accommodation."
24/01994/CND,Enfield Council,6/18/24,"Details pursuant to Ref: 24/00992/HOU for sustainable drainage strategy (4) in respect of the two storey side extension, single storey front extension, conversion of garage to habitable room, rear dormer and front and side roof lights."
24/02175/CND,Enfield Council,6/28/24,"Details submitted pursuant to reference 21/01506/FUL: sustainable drainage (7) in respect of erection of a part 1, part 2, part 3 and part 4 residential block of 9Nos. self-contained flats with associated refuse and cycle storage."
DM2024/00625,London Borough of Sutton,5/21/24,"Demolition of all existing structures, site preparation works and construction of a 6 storey building accomodating 5 x 1 bedroom residential units (Use Class C3) with cycle parking and associated landscaping (SITE C)"
2024/1353/P,Camden,8/4/24,"Details of condition 8b (Demolition and Construction Environmental Management Plan) for Buildings OPQ, V and W only as required by planning permission ref. 23/AP/2124 dated 12/03/2024 for 'Demolition, alterations and extension of existing buildings and erection of new buildings comprising a mixed-use scheme including providing new dwellings (Class C3), flexible Class A1/A3/A4/B1/D1/D2, flexible multi-use Class A1/A3/A4/D1 floorspace within retained Block BF-F, and a new secondary school. The development also includes communal amenity space, landscaping, children's playspace, car and cycle parking, installation of plant, new pedestrian, vehicular and servicing routes, the creation of two new pedestrian routes through the Railway Arches and associated works; and Outline planning permission (with all matters reserved) for the part demolition and part retention of existing buildings and erection of two new buildings comprising a mixed-use scheme, providing new homes (Class C3) and flexible multi-use floorspace (Class A1/A3/A4/D1), and other associated works.Amendments to planning permission 17/AP/4088 and variation of itsconditions including:Increase the total number of homes from 1536 to 1624Increased provision of social rent homesChanges to massing and architectureChanges to the quantum and allocation of non-residential floorspaceRemoval of block R and basement under block RST with its rampRevised provision of public realm, playspace and tree plantingEnhanced fire strategy for each buildingIncreased communal spaces for residentsReconfigured parking provisionRevised energy and overheating strategy'."
24/02355/LDCP,London Borough of Bexley,9/9/24,"Lawful Development Certificate (Proposed) for the conversion of roof space involving alterations to existing roofline, a rear dormer extension and rooflights to front roofslope, and conversion of garage to habitable room."
P0488.24,Havering,4/16/24,Conversion of basement level to create two self contained units (Class C3). (Linked with 24/03767/LBC)
24/AP/3041,London Borough of Southwark,10/14/24,"Details of condition 9B ' a certified Post Construction Review' required by planning permission ref no. 20/AP/1634: 'Refurbishment of the existing Grade II Listed Walworth Town Hall and Newington Library buildings to provide a Community Centre (Class D1), flexible employment/education space (Class B1/D1), and a café/lobby (Class A1/A3/D1); and including a third floor within the reconfigured roof space of the Town Hall building and a first floor mezzanine level to accommodate additional employment/education space (Class B1/D1), a heritage roof, outdoor amenity spaces at ground floor and first floor levels, an entrance off Walworth Square, with associated servicing, cycle parking, signage, lighting and associated landscaping.'"
1684/24,Redbridge,6/19/24,"Details of conditions 7e ( facing materials and samples) 9 (hard and soft Landscaping) 12 ( cycle Parking) 13 ( cycle store and residential cycle parking) 17A ( site waste management plan 20 ( wheelchair accessible units) submitted pursuant to Planning Permission 00454/B/P12 approved 26 January 2023 for the demolition of the existing buildings and redevelopment to provide 55 residential dwellings, a new medical centre, car parking, cycle parking and associated works."
24/02499/FUL,London Borough of Bexley,11/10/24,Conversion of existing house into 3 self-contained flats; conversion of a garage into a habitable room including associated external alteration involving the insertion of a window in lieu of the garage door opening.
2024/1154,Wandsworth,12/4/24,"Approval of details pursuant to condition 19 (Plant Equipment) of planning permission 18/00019/FUL (Redevelopment of the site, involving demolition of the building and erection of a 4-storey building plus basement level to provide a restaurant (A3) and retail (A1) use at ground floor and basement level plus 4 flats with terraces on the upper floors (Use Class C3), together with provision cycle and refuse stores) granted on 09.01.2019."
2024/01127/FUL,London Borough of Hammersmith and Fulham,5/20/24,Erection of a rear roof extension; installation of 1no rooflight in the front and side roofslopes; removal of the chimney stack from the rear roof; infilling of 1no window at ground floor level to the side elevation.
2539/24,Redbridge,9/17/24,Details of Preliminary Risk Assessment (Condition 14) and Remediation Method Statement Phase 2 (Condition 15) pursuant to planning permission dated 24/11/2022 ref 2022/3185 (Demolition of existing buildings and erection of 5 x two storey (plus basement) 3-bedroom dwelling houses accessed via Holmbury Court.)
24/2939/192,London Borough of Barnet,7/31/24,Roof extension to existing rear dormer to create an L shaped dormer with side window. (amended)
25/00057/FUL,London Borough of Bexley,1/21/25,"Partial discharge of condition 15 (green roof - details only) pursuant to planning permission 21/AP/4297 ( appeal ref: APP/A5840/W/22/3303205) dated 24/01/2022 for 'demolition of existing building and structures and erection of a part 2, part 7, part 14, and part 16 storey plus basement development comprising 1,733sqm (GIA) of space for Class E employment use and/or community health hub and/or Class F1(a) education use and 233 purpose-built student residential rooms with associated amenity space and public realm works, car and cycle parking, and ancillary infrastructure'."
77211/APP/2024/2373,Hillingdon,11/9/24,Internal changes only. Offices to be converted into 4 x residential units.
P2024/1903/FUL,Islington,7/15/24,roof top extension to form a double height mansard roof extension to the south roof of the building
24/03726/CEA,Enfield Council,12/20/24,"Submission of revised scheme demonstrating how urban greening has been maximised pursuant to condition 41 of planning permission ref: 214465OPDFUL dated 03.05.2023 for 'The demolition of the existing public house and the redevelopment of the site to provide a part 32 storey, part 27 storey comprising 462 co-living rooms with associated communal amenity spaces (Sui Generis), a public house (Sui Generis) and associated access, cycle parking, blue badge parking, bin storage and landscaping'"
24/02176/PLUD,Bromley Custodian Code,6/27/24,Loft conversion incorporating a rear dormer and 3 rooflights to front roof slope PROPOSED LAWFUL DEVELOPMENT CERTIFICATE
2024/4232,Wandsworth,4/12/24,"Details of carbon reductions plan pursuant to condition 7 of planning permission dated 12/07/2023 ref 2023/1371 (Alterations including erection of part single, part two-storey rear and side extensions; mansard roof extension to main rear roof and above back addition with terraces at rear first and second floor levels; in connection with the conversion of the property into 3 self-contained residential units (1 x 3-bedroom and 2 x 2-bedroom units) (Amendment to 2022/1557))"
24/02807/PLUD,Bromley Custodian Code,7/22/24,"Demolition of existing rear chimney, construction of loft conversion with hipped to gable roof extension including rear roof dormer with Juillet balcony and two front rooflights LAWFUL DEVEOPMENT CERTIFICATE (PROPOSED)"
24/02640/PRH,Enfield Council,5/8/24,Single storey rear extension 6m deep x 3.15m high (3m high to eaves).
242699FUL,Ealing,7/26/24,"Details of condition 9 'Biodiversity green roofs' required by planning permission ref no. 22/AP/3141: 'Redevelopment of the site to provide 6 no. residential units and 1 no. commercial unit, associated amenity space, landscaping, cycle and refuse storage, and associated ancillary works.'"
2024/1117,Wandsworth,4/18/24,Alterations including erection of side dormer roof extension to main roof and erection of rear dormer roof extension to main roof.
24/06622/TELCOM,Westminster,1/10/24,"Installation of 12 antennas, 4 transmission dishes, 4 equipment cabinets and ancillary development thereto on the rooftop of Chelwood House."
24/06158/ADFULL,Westminster,3/9/24,"Details of the installation of bio-diverse roofs, including sections to show construction of base, substrate depth, maintenance regime and works to accommodate the supporting structure within the proposed new roof structures, pursuant to Condition 21 (Part 1) of planning permission dated 5th September 2022 (RN: 21/04272/FULL)"
24/02832/FUL,London Borough of Bexley,11/19/24,"Details pursuant to Ref: 21/03142/RE4 for verification report (19) in respect of the erection of part 3, part 4 storey building to provide extra care apartments in the form of 70 flats (64x1 bed and 6x2 bed) with courtyards, communal facilities including lounge, multi-use hobby room, laundry, hairdresser / wellbeing room, mobility scooter store, library/flexible staff space together with staff room and office, and associated plant, storage, landscaping and parking."
24/02799/FUL,London Borough of Bexley,11/14/24,"Erection of a single storey outbuilding, connected to exisitng garage and demolition of existing detached store."
P0494.24,Havering,5/16/24,"Details submitted pursuant to reference APP/Q5300/W/23/3318256 (22/03744/FUL): external surface materials (4), surfacing materials (6), privacy screens (9), refuse and recycling storage (11), cycle parking (12), enclosure (13) and potable water 14) in respect of conversion of single family dwelling house into 7 x self-contained flats, involving part single, part 2- storey rear and sides extensions, alterations to roof involving new roof over main building,1st floor balconies with privacy screen at rear, front roof balconies, with rear and sides rooflights, associated car parking, cycle parking, refuse facilities and amenity space."
P2024/3495/FUL,Islington,11/22/24,"Demolition of existing single storey building and erection of a four storey building to provide commercial premises at ground floor level with 5no. self contained flats on upper floors together. Associated amenity space, car parking, cycle storage and refuse/recycling facilities"
24/AP/1051,London Borough of Southwark,4/23/24,"Non-Material Amendment to planning application 23/AP/2261 dated 08/10/2023 for 'Partial demolition with facade retention, alterations to doors and windows, a part 1, part 2-storey front, side, and roof extensions, 2x ground floor rear extensions, 2x dormers, 3x rooflights, and excavation forming a basement with light well to provide additional living accommodation to an existing detached dwellinghouse with associated hard and soft landscaping; removal of 3 trees.'The amendments include:-Reduction in overall basement size.-Black metal balustrade to rear lightwell in lieu of glass balustrade.-Reduction in size of rear dormer serving Master Bedroom at 2nd floor level."
2024/3684,Wandsworth,10/23/24,"Erection of a single-storey rear extension to extend beyond the rear wall of the existing dwellinghouse by 3.93m, the total height of the proposed extension is 2.9m and the height of the eaves is 2.44m."
0910/24,Redbridge,6/20/24,Details submitted pursuant to reference 22/03941/FUL: levels (9) and arboricultural impact assessment (10) in respect of redevelopment of site involving demolition of buildings together with subdivision of site and erection of 4 single family dwellings.
2024/3207,Wandsworth,9/19/24,"Alterations including erection of a mansard extension (with french doors and safety glazing) to the main rear roof, including raising ridge by 300mm."
